,管理頁面(management_pages),商業邏輯(action_pages),關聯邏輯(relate_action),關聯模組(relate_model),使用欄位(select_column),異動欄位(modify_column),刪除記錄(delete_column),備註
,登入管理,Session::Authenticate,,Staff,"state
password
account",,,後台登入
,,Session::WorkstationAuthenticate,,Staff,"state
password
account",,,工作站登入
,,Session::WorkstationAuthenticate,,permission,content,,,工作站權限驗證
,人員資料管理,Staff::Create,,Staff,,"account
password
name
email
mobile
phone
note
permission_id
state",,新增
,,Staff::Create,,Pernission,id,,,僅使用
,,Staff::Find,,Staff,id,,,
,,Staff::List,,Staff,,,,
,,Staff::Update,,Staff,id,"account
password
name
email
mobile
phone
note
permisson_id
state",,更新
,,Staff::Update,,Pernission,id,,,僅使用
,權限管理,Permission::Create,,Permisson,,"name
content
state",,新增
,,Permission::Find,,Permisson,id,,,
,,Permission::List,,Permisson,,,,
,,Permission::Update,,Permisson,id,"name
content
state",,更新
,機台管理,Machine::Create,,Machine,,"name
note
state",,新增
,,Machine::Find,,Machine,id,,,
,,Machine::List,,Machine,,,,
,,Machine::Update,,Machine,id,"name
note
state",,更新
,,Machine::OnWork,,Machine,,,,找尋使用者已上工的機台
,,Machine::OnWork,,Staff,id,,,僅使用
,,Machine::ValidateMoOline,,Machine,id,,,檢測當前機台是否有製令上線中
,,Machine::ValidateMoOline,,ManufactureOrder,,,,僅回傳物件
,上下工記錄管理,WorkingHour::Create,Machine::Find,WorkingHour,,"worker_id
login_at
logout_at
note
state",,新增上工紀錄
,,WorkingHour::Create,,WokerMachineMapping,,"worker_hour_id
machine_id
mo_ids
state",,新增該使用者操作的機台資料
,,,,Staff,id,,,僅使用
,,,,Machine,id,,,僅使用
,,WorkingHour::Find,,WorkingHour,id,,,
,,WorkingHour::Update,,WorkingHour,id,"logoout_at
state",,更新下工時間，切換記錄狀態
,,WorkingHour::Update,,Staff,id,,,僅使用
,,,,Machine,id,,,僅使用
,,,,ManufactureOrder,,note,,更新部分欄位，使用者可以添加製令備註
,,,,WorkerMahcineMapping,,state,,更新操作的機台資料，切換資料狀態
,,WorkingHour::AuthenticateOperate,,WorkingHour,id,,,檢測使用者是否有操作該工作紀錄的權限
,,WorkingHour::AuthenticateOperate,,Staff,id,,,僅使用
,製令管理,ManufactureOrder::Find,,ManufactuerOrder,id,,,
,,ManufactureOrder::Online,Api::RequesetMoInfo,ManufactuerOrder,,"machine_id
online_recorder_id
mo_index
online_at
offline_at
customer
product_name
content
note
state",,新增製令上線紀錄
,,ManufactureOrder::Online,,Machine,id,,,僅使用
,,,,Staff,id,,,僅使用
,,,,MoProduceRecord,,"mo_id
prodcutor_id
state",,新增正式生產的紀錄
,,,,BareWire,,"wire_no
state",,新增正式生產的素線紀錄
,,ManufactureOrder::Offline,"Machine::ValidateMoOnline
Lot::ProducingLot",ManufactuerOrder,,"offline_at
offline_recorder_id
state",,更新部分欄位
,,ManufactureOrder::Offline,,Machine,id,,,僅使用
,,,,User,id,,,僅使用
,,,,BareWire,,"offline_at
offlie_recorder
state",,更新素線記錄下線的使用者、時間、狀態為下線
,,,,MoProduceRecord,,state,,更新正式生產紀錄的狀態
,,,,Lot,,state,,更新最後一筆成品的狀態
,,ManufactureOrder::Cancel,Machine::ValidateMoOnline,ManufactuerOrder,,"offline_at
offline_recorder_id
state",,更新部分欄位
,,ManufactureOrder::Cancel,,mahcine,,id,,僅使用
,,,,Staff,,id,,僅使用
,,,,BareWire,,state,,更新素線紀錄的狀態為取消
,,,,MoProduceRecord,,state,,更新正式生產紀錄的狀態為取消
,,ManufactureOrder::Produce,,ManufactuerOrder,id,,,對該張製令進行正式生產
,,ManufactureOrder::Produce,,Machine,id,,,僅使用
,,,,Lot,,"wire_num
twist_num
twist_direction
pinhole
appearance
initial_length
note
diameters
tensions
produce_record_id
state",,新建成品紀錄
,,,,BareWire,tensions,,,素線張力給成品紀錄的張力欄位
,,,,Staff,id,,,僅使用
,,,,MoProduceRecord,id,produce_at,,僅使用
,,,,WorkMachineMapping,,mo_ids,,記錄使用者曾生產過該張製令
,,ManufactureOrder::BareWireList,Machine::ValidateMoOnline,ManufactuerOrder,id,,,
,,ManufactureOrder::BareWireList,,Machine,id,,,
,,,,BareWire,,,,僅回傳物件
,素線管理,BareWire::Find,,BareWire,id,,,
,,BareWire::PendingList,,BareWire,state,,,返回機台上線製令使用中的素線
,,BareWire::PendingList,,Machine,id,,,僅使用
,,BareWire::PendingList,,ManufactureOrder,id,,,
,,BareWire::Update,"BareWIre::Find
Machine::ValidateMoOnline
Api::RequestWireInfo
Lot::EmptyLot",BareWire,id,"offline_at
offline_recorder
state",,素線更換，正式生產後，換一條就創建一批新的紀錄
,,BareWire::Update,,Staff,id,,,僅使用
,,BareWire::Update,,Machine,id,,,僅使用
,,BareWire::Update,,Lot,,state,,更新上一批正式生產紀錄的成品狀態
,,BareWire::Update,,MoProduceRecord,,state,,更新上一批正式生產紀錄的狀態
,張力管理,Tension::Update,Machine::ValidateMoOnline,BareWires,id,tension,,更新素線張力
,,Tension::Update,,TensionLog,,"bare_wire_id
recorder
tension
record_at",,新增張力歷史紀錄
,,Tension::Update,,Machine,id,,,僅使用
,,Tension::Update,,Staff,id,,,僅使用
,,Tension::Update,,ManufactureOrder,id,,,僅使用
,,Tension::Update,,Lot,id,tensions,,更新當前成品資料的張力
,成品管理,Lot::CompeletLots,,Lot,state,,,返回物件
,,Lot::CompeletLots,,Machine,id,,,僅使用
,,,,ManufactureOrder,id,,,僅使用
,,,,MoProduceRecord,id,,,僅使用
,,Lot::EmptyLot,Lot::ProducingLot,Lot,,state,,更新成品狀態
,,Lot::EmptyLot,,Machine,id,,,僅使用
,,Lot::Find,,Lot,id,,,
,,Lot::Note,,Lot,ids,"note
state",,註記ng品
,,Lot::Note,,Staff,id,,,僅使用
,,Lot::PendingLot,,Lot,staete,,,返回物件
,,Lot::PendingLot,,Machine,id,,,僅使用
,,,,ManufactureOrder,id,,,僅使用
,,,,MoProduceRecord,id,,,僅使用
,,Lot::PreviousLotTime,,Lot,response_at,,,返回上一筆成品紀錄時間
,,Lot::PreviousLotTime,,Machine,id,,,僅使用
,,,,ManufactureOrder,id,,,僅使用
,,,,MoProduceRecord,id,,,僅使用
,,Lot::ProducingLot,,Lot,state,,,返回物件
,,Lot::ProducingLot,,Machine,id,,,僅使用
,,,,ManufactureOrder,id,,,僅使用
,,,,MoProduceRecord,id,,,僅使用
,,Lot::Update,"Lot::PendingLot
Api::RequestLotInfo",Lot,,"recorder
response_at
state
lot_index
weight
wire_num
twist_num
twist_direction
pinhole
appearance
note
diameter
tensions",,下軸成品建新資料
,,Lot::Update,,Machine,id,,,僅使用
,,,,Staff,id,,,僅使用
,,,,BareWire,,"round
tension",,清除張力，生產回數+1
,API管理,Api::LotOffline,Lot::ProducingLot,Lot,,"work_date
offline_at
lot_no
revolutions
meters
state",,成品下軸訊號
,,Api::LotOffline,,Machine,name,,,僅使用
,,Api::LotOffline,,MoProduceRecord,id,,,僅使用
,,Api::LotOffline,,ManufactureOrder,id,,,僅使用
,,Api::RequesetLotInfo,,,,,,拿取成品資訊
,,Api::RequesetMoInfo,,,,,,拿取製令資訊
,,Api::RequestWireInfo,,,,,,拿取素線資訊
,稼動查詢管理,Operation::MachineList,,Machine,id,,,
,,Operation::MachineList,,ManufactureOrder,"online_at
offline_at
state
machine_id",,,
,,Operation::MachineShow,"Operation::Machine::BasicInfo
Operation::Machine::MachineProductionInfo
Operation::Machine::SideBarInfo
Operation::Machine::WorkerInfo",Machine,id,,,
,,Operation::MachineShow,,ManufactureOrder,"machine_id
online_at
offline_at
state",,,
,,Operation::MachineShow,,WorkingHours,"login_at
logout_at
state
worker_id",,,
,,Operation::MachineShow,,Staff,id,,,
,,Operation::Molist,,ManufactureOrder,"machine_id
online_at
offline_at
state",,,
,,Operation::Molist,,Machine,Id,,,
,,Operation::Moshow,"Operation::Mo::BasicInfo
Operation::Mo::LotInfo
Operation::Mo::MachineInfo
Operation::Mo::SideBarInfo
Operation::Mo::WorkerInfo",ManufactureOrder,,,,
,,Operation::WorkerList,,Staff,name,,,
,,Operation::WorkerList,,WorkingHour,"login_at
logout_at
state
staff_id",,,
,,Operation::WorkerList,,ManufactureOrder,"online_at
offline_at
state",,,
,,Operation::WorkerList,,MoProduceRecord,"produce_at
state
productor_id",,,
,,Operation::WorkerList,,Lot,"recorder_id
weight
offline_at
state",,,
,,Operation::Machine::BasicInfo,,Machine,"id
name",,,
,,Operation::Machine::BasicInfo,,ManufactureOrder,"online_at
offline_at",,,
,,Operation::Machine::BasicInfo,,MoProduceRecord,"produce_at
state",,,
,,Operation::Machine::BasicInfo,,Lot,"weight
offline_at
state",,,
,,Operation::Machine::MachineProductionInfo,,Machine,id,,,
,,Operation::Machine::MachineProductionInfo,,ManufactureOrder,"online_at
mo_index",,,
,,Operation::Machine::MachineProductionInfo,,MoProduceRecord,"produce_at
state",,,
,,Operation::Machine::MachineProductionInfo,,Lot,"offline_at
weight
state",,,
,,Operation::Machine::SideBarInfo,,Machine,id,,,
,,Operation::Machine::SideBarInfo,,ManufactureOrder,"mo_index
online_at
oflfine_at
online_recorder_id
offline_recorder_id",,,
,,Operation::Machine::SideBarInfo,,MoProduceRecord,"produce_at
state",,,
,,Operation::Machine::SideBarInfo,,Lot,"offline_at
state",,,
,,Operation::Machine::WorkerInfo,,Staff,"id
name",,,
,,Operation::Machine::WorkerInfo,,WorkingHour,"logint_at
logout_at
worker_id",,,
,,Operation::Machine::WorkerInfo,,ManufactureOrder,online_at,,,
,,Operation::Machine::WorkerInfo,,MoProduceRecord,"produce_at
productor_id",,,
,,Operation::Machine::WorkerInfo,,Lot,"weight
offline_at
state",,,
,,Operation::Mo::BasicInfo,,ManufactureOrder,"online_at
offline_at
machine_id
product_name",,,
,,Operation::Mo::BasicInfo,,Machine,name,,,
,,Operation::Mo::LotInfo,,ManufactureOrder,id,,,
,,Operation::Mo::LotInfo,,Lot,"id
lot_no
offline_at
recorder_id
reponse_at
work_date",,,
,,Operation::Mo::LotInfo,,MoProduceRecord,produce_at,,,
,,Operation::Mo::LotInfo,,Staff,name,,,
,,Operation::Mo::MachineInfo,,ManufactureOrder,"id
online_at",,,
,,Operation::Mo::MachineInfo,,MoProduceRecord,"id
produce_at
state",,,
,,Operation::Mo::MachineInfo,,Lot,"id
weight
offline_at
state",,,
,,Operation::Mo::SideBarInfo,,ManufactureOrder,"id
online_at
offline_at
online_recorder_id
offline_recorder_id",,,
,,Operation::Mo::SideBarInfo,,WorkerMachineMapping,mo_ids,,,
,,Operation::Mo::SideBarInfo,,WorkingHour,"logint_at
logout_at
worker_id",,,
,,Operation::Mo::SideBarInfo,,MoProduceRecord,"produce_at
productor_id
state",,,
,,Operation::Mo::SideBarInfo,,Staff,name,,,
,,Operation::Mo::WorkerInfo,,WorkerMachineMapping,"mo_ids
working_hour_id",,,
,,Operation::Mo::WorkerInfo,,WorkingHour,"logint_at
logout_at
worker_id",,,
,,Operation::Mo::WorkerInfo,,Staff,"id
name",,,
,,Operation::Mo::WorkerInfo,,ManufactureOrder,"id
offline_at",,,
,,Operation::Mo::WorkerInfo,,Lot,"weight
recorder_id
state",,,
,報表管理,Report::Output,,MoProduceRecord,,,,返回物件
,,Report::Output,,Machine,id,,,僅使用